module_guess,page_name,php_page,matching_js,likely_api_controller,risk_flags
boarding,operator_boarding,pages/boarding/operator_boarding.php,,api/controllers/BoardingController.php,placeholder
boarding,viewer_boarding,pages/boarding/viewer_boarding.php,,api/controllers/BoardingController.php,placeholder
boarding,boarding_roll_call,pages/boarding_roll_call.php,js/pages/boarding_roll_call.js,api/controllers/BoardingController.php,
pages,budget_overview,pages/budget_overview.php,js/pages/budget_overview.js,,
pages,cash_reconciliation,pages/cash_reconciliation.php,js/pages/cash_reconciliation.js,,placeholder
pages,chapel_services,pages/chapel_services.php,js/pages/chapel_services.js,api/controllers/ChapelController.php,placeholder
pages,chronic_absenteeism,pages/chronic_absenteeism.php,js/pages/chronic_absenteeism.js,,
attendance,class_attendance_history,pages/class_attendance_history.php,,api/controllers/AttendanceController.php,
pages,class_capacity,pages/class_capacity.php,js/pages/class_capacity.js,,placeholder
pages,class_conduct_grades,pages/class_conduct_grades.php,js/pages/class_conduct_grades.js,,
pages,class_parent_contacts,pages/class_parent_contacts.php,js/pages/class_parent_contacts.js,,placeholder
report,class_report_cards,pages/class_report_cards.php,,api/controllers/ReportsController.php,
pages,class_results,pages/class_results.php,,,
pages,class_streams,pages/class_streams.php,js/pages/class_streams.js,,placeholder
pages,clubs_societies,pages/clubs_societies.php,js/pages/clubs_societies.js,,
communications,admin_communications,pages/communications/admin_communications.php,,api/controllers/CommunicationsController.php,placeholder
communications,manager_communications,pages/communications/manager_communications.php,,api/controllers/CommunicationsController.php,placeholder
communications,operator_communications,pages/communications/operator_communications.php,,api/controllers/CommunicationsController.php,placeholder
communications,viewer_communications,pages/communications/viewer_communications.php,,api/controllers/CommunicationsController.php,
reports,comparative_reports,pages/comparative_reports.php,js/pages/comparative_reports.js,api/controllers/ReportsController.php,placeholder
pages,competencies_sheet,pages/competencies_sheet.php,js/pages/competencies_sheet.js,,
pages,competency_checklist,pages/competency_checklist.php,js/pages/competency_checklist.js,,
pages,competitions,pages/competitions.php,js/pages/competitions.js,,placeholder
pages,conduct_grades,pages/conduct_grades.php,,,
reports,conduct_reports,pages/conduct_reports.php,js/pages/conduct_reports.js,api/controllers/ReportsController.php,placeholder
counseling,counseling_records,pages/counseling_records.php,js/pages/counseling_records.js,api/controllers/CounselingController.php,placeholder
counseling,counseling_referrals,pages/counseling_referrals.php,,api/controllers/CounselingController.php,
pages,create_assessment,pages/create_assessment.php,,,
pages,create_subject_cat,pages/create_subject_cat.php,,,
pages,curriculum_cbc,pages/curriculum_cbc.php,js/pages/curriculum_cbc.js,,placeholder
attendance,daily_attendance,pages/daily_attendance.php,,api/controllers/AttendanceController.php,
dashboard,dashboard,pages/dashboard.php,,api/controllers/DashboardController.php,
import,data_import,pages/data_import.php,js/pages/data_import.js,api/controllers/ImportController.php,
pages,data_retention,pages/data_retention.php,,,
pages,depreciation,pages/depreciation.php,js/pages/depreciation.js,,
pages,detailed_payslip,pages/detailed_payslip.php,js/pages/detailed_payslip.js,,
pages,development_progress,pages/development_progress.php,js/pages/development_progress.js,,
discipline,admin_discipline,pages/discipline/admin_discipline.php,,,placeholder|fallback
discipline,manager_discipline,pages/discipline/manager_discipline.php,,,placeholder
discipline,operator_discipline,pages/discipline/operator_discipline.php,,,placeholder
discipline,viewer_discipline,pages/discipline/viewer_discipline.php,,,
discipline,discipline_cases,pages/discipline_cases.php,js/pages/discipline_cases.js,,
pages,domain_isolation_rules,pages/domain_isolation_rules.php,,,
pages,dormitory_management,pages/dormitory_management.php,js/pages/dormitory_management.js,,
reports,enrollment_reports,pages/enrollment_reports.php,js/pages/enrollment_reports.js,api/controllers/ReportsController.php,
pages,enrollment_trends,pages/enrollment_trends.php,js/pages/enrollment_trends.js,,
pages,enter_exam_results,pages/enter_exam_results.php,,,
pages,enter_marks,pages/enter_marks.php,,,
pages,enter_results,pages/enter_results.php,js/pages/enter_results.js,,
pages,error_logs,pages/error_logs.php,,,placeholder
pages,exam_schedule,pages/exam_schedule.php,js/pages/exam_schedule.js,,placeholder
pages,exam_setup,pages/exam_setup.php,js/pages/exam_setup.js,,placeholder
reports,exception_reports,pages/exception_reports.php,js/pages/exception_reports.js,api/controllers/ReportsController.php,
pages,failed_login_attempts,pages/failed_login_attempts.php,,,placeholder
pages,feature_flags,pages/feature_flags.php,js/pages/feature_flags.js,,
fee,fee_defaulters,pages/fee_defaulters.php,js/pages/fee_defaulters.js,,placeholder
fee_structure,accountant_fee_structure,pages/fee_structure/accountant_fee_structure.php,,,placeholder
fee_structure,admin_fee_structure,pages/fee_structure/admin_fee_structure.php,,,placeholder
fee_structure,viewer_fee_structure,pages/fee_structure/viewer_fee_structure.php,,,placeholder
fee,fee_structure,pages/fee_structure.php,js/pages/fee_structure.js,,
fees,admin_fees,pages/fees/admin_fees.php,,,placeholder
fees,manager_fees,pages/fees/manager_fees.php,,,placeholder
fees,operator_fees,pages/fees/operator_fees.php,,,
fees,viewer_fees,pages/fees/viewer_fees.php,,,
finance,admin_finance,pages/finance/admin_finance.php,,api/controllers/FinanceController.php,placeholder
finance,manager_finance,pages/finance/manager_finance.php,,api/controllers/FinanceController.php,placeholder
finance,operator_finance,pages/finance/operator_finance.php,,api/controllers/FinanceController.php,
finance,viewer_finance,pages/finance/viewer_finance.php,,api/controllers/FinanceController.php,
finance,finance_approvals,pages/finance_approvals.php,js/pages/finance_approvals.js,api/controllers/FinanceController.php,placeholder
finance,finance_reports,pages/finance_reports.php,js/pages/finance_reports.js,api/controllers/FinanceController.php,
pages,food_store,pages/food_store.php,js/pages/food_store.js,,placeholder
pages,formative_assessments,pages/formative_assessments.php,js/pages/formative_assessments.js,,placeholder
report,generate_class_report,pages/generate_class_report.php,,api/controllers/ReportsController.php,
report,generate_subject_report,pages/generate_subject_report.php,,api/controllers/ReportsController.php,
pages,grade_entry,pages/grade_entry.php,,,
pages,grading_status,pages/grading_status.php,js/pages/grading_status.js,,
import,import_existing_students,pages/import_existing_students.php,js/pages/import_existing_students.js,api/controllers/ImportController.php,
pages,improvement_areas,pages/improvement_areas.php,js/pages/improvement_areas.js,,
pages,intern_assigned_classes,pages/intern_assigned_classes.php,,,
pages,intern_assigned_subjects,pages/intern_assigned_subjects.php,,,
pages,intern_schedule,pages/intern_schedule.php,js/pages/intern_schedule.js,,
pages,intervention_plans,pages/intervention_plans.php,js/pages/intervention_plans.js,,placeholder
inventory,inventory_expenses,pages/inventory_expenses.php,,api/controllers/InventoryController.php,
pages,ip_whitelist_blacklist,pages/ip_whitelist_blacklist.php,,,placeholder
pages,job_inspector,pages/job_inspector.php,,,placeholder
pages,late_arrivals,pages/late_arrivals.php,,,
pages,learning_areas,pages/learning_areas.php,js/pages/learning_areas.js,,placeholder
pages,learning_goals,pages/learning_goals.php,js/pages/learning_goals.js,,placeholder
pages,lesson_plan_approval,pages/lesson_plan_approval.php,js/pages/lesson_plan_approval.js,,placeholder
pages,lesson_plans_by_class,pages/lesson_plans_by_class.php,js/pages/lesson_plans_by_class.js,,placeholder
pages,lesson_plans_by_teacher,pages/lesson_plans_by_teacher.php,js/pages/lesson_plans_by_teacher.js,,placeholder
library,admin_library,pages/library/admin_library.php,,api/controllers/LibraryController.php,placeholder
library,viewer_library,pages/library/viewer_library.php,,api/controllers/LibraryController.php,placeholder
discipline,log_discipline_case,pages/log_discipline_case.php,,,
discipline,log_discipline_incident,pages/log_discipline_incident.php,,,
maintenance,maintenance_mode,pages/maintenance_mode.php,,api/controllers/MaintenanceController.php,
academic,manage_academics,pages/manage_academics.php,js/pages/manage_academics.js,api/controllers/AcademicController.php,
activities,manage_activities,pages/manage_activities.php,js/pages/manage_activities.js,api/controllers/ActivitiesController.php,placeholder
pages,manage_announcements,pages/manage_announcements.php,js/pages/manage_announcements.js,,placeholder
boarding,manage_boarding,pages/manage_boarding.php,,api/controllers/BoardingController.php,
pages,manage_calendar_events,pages/manage_calendar_events.php,js/pages/manage_calendar_events.js,api/controllers/EventsController.php,placeholder
pages,manage_classes,pages/manage_classes.php,,,placeholder
communications,manage_communications,pages/manage_communications.php,js/pages/manage_communications.js,api/controllers/CommunicationsController.php,
pages,manage_email,pages/manage_email.php,js/pages/manage_email.js,,placeholder
pages,manage_expenses,pages/manage_expenses.php,js/pages/manage_expenses.js,,placeholder
pages,manage_family_groups,pages/manage_family_groups.php,,,placeholder
fee,manage_fee_structure,pages/manage_fee_structure.php,,,
finance,manage_finance,pages/manage_finance.php,js/pages/manage_finance.js,api/controllers/FinanceController.php,
inventory,manage_inventory,pages/manage_inventory.php,js/pages/manage_inventory.js,api/controllers/InventoryController.php,placeholder
pages,manage_lesson_plans,pages/manage_lesson_plans.php,js/pages/manage_lesson_plans.js,,placeholder
library,manage_library,pages/manage_library.php,js/pages/manage_library.js,api/controllers/LibraryController.php,
pages,manage_menus,pages/manage_menus.php,,,placeholder
staff,manage_non_teaching_staff,pages/manage_non_teaching_staff.php,js/pages/manage_non_teaching_staff.js,api/controllers/StaffAppointmentsController.php,placeholder
payments,manage_payments,pages/manage_payments.php,js/pages/manage_payments.js,api/controllers/PaymentsController.php,placeholder
payroll,manage_payrolls,pages/manage_payrolls.php,js/pages/manage_payrolls.js,,placeholder
pages,manage_requisitions,pages/manage_requisitions.php,js/pages/manage_requisitions.js,,placeholder
role,manage_roles,pages/manage_roles.php,js/pages/manage_roles.js,,placeholder
pages,manage_sms,pages/manage_sms.php,js/pages/manage_sms.js,,placeholder
staff,manage_staff,pages/manage_staff.php,js/pages/manage_staff.js,api/controllers/StaffAppointmentsController.php,
staff,manage_staff_children,pages/manage_staff_children.php,,api/controllers/StaffAppointmentsController.php,placeholder
pages,manage_stock,pages/manage_stock.php,js/pages/manage_stock.js,,placeholder
students,manage_students,pages/manage_students.php,js/pages/manage_students.js,api/controllers/StudentsController.php,
admission,manage_students_admissions,pages/manage_students_admissions.php,,api/controllers/AdmissionController.php,
pages,manage_subjects,pages/manage_subjects.php,,,placeholder
pages,manage_teachers,pages/manage_teachers.php,js/pages/manage_teachers.js,,placeholder
pages,manage_terms,pages/manage_terms.php,js/pages/manage_terms.js,,placeholder
pages,manage_timetable,pages/manage_timetable.php,js/pages/manage_timetable.js,,
transport,manage_transport,pages/manage_transport.php,,api/controllers/TransportController.php,
pages,manage_uniform_sales,pages/manage_uniform_sales.php,,,placeholder
users,manage_users,pages/manage_users.php,js/pages/manage_users.js,api/controllers/UsersController.php,placeholder
pages,manage_website,pages/manage_website.php,js/pages/manage_website.js,api/controllers/WebsiteController.php,placeholder
attendance,mark_attendance,pages/mark_attendance.php,js/pages/mark_attendance.js,api/controllers/AttendanceController.php,
pages,mentor_meetings,pages/mentor_meetings.php,js/pages/mentor_meetings.js,,placeholder
pages,mentor_notes,pages/mentor_notes.php,js/pages/mentor_notes.js,,
pages,menu_planning,pages/menu_planning.php,js/pages/menu_planning.js,,placeholder
pages,migrations,pages/migrations.php,,,placeholder
pages,module_enablement,pages/module_enablement.php,,,
discipline,monthly_discipline_report,pages/monthly_discipline_report.php,,,
pages,mpesa_reconciliation,pages/mpesa_reconciliation.php,,,
pages,mpesa_settlements,pages/mpesa_settlements.php,js/pages/mpesa_settlements.js,,placeholder
pages,my_cats,pages/my_cats.php,,,
pages,my_classes_taught,pages/my_classes_taught.php,,,
pages,my_mentor,pages/my_mentor.php,js/pages/my_mentor.js,,
pages,my_routes,pages/my_routes.php,js/pages/my_routes.js,,
pages,my_schemes_of_work,pages/my_schemes_of_work.php,,,
students,my_students_list,pages/my_students_list.php,,api/controllers/StudentsController.php,
students,my_students_performance,pages/my_students_performance.php,,api/controllers/StudentsController.php,
pages,my_subject_cats,pages/my_subject_cats.php,,,
pages,my_subject_syllabus,pages/my_subject_syllabus.php,,,
pages,my_subjects_overview,pages/my_subjects_overview.php,,,
pages,my_vehicle,pages/my_vehicle.php,js/pages/my_vehicle.js,,
pages,national_exams,pages/national_exams.php,js/pages/national_exams.js,,placeholder
pages,new_applications,pages/new_applications.php,,,
fee,observation_feedback,pages/observation_feedback.php,js/pages/observation_feedback.js,,
pages,observation_schedule,pages/observation_schedule.php,js/pages/observation_schedule.js,,placeholder
fee,parent_feedback,pages/parent_feedback.php,js/pages/parent_feedback.js,,placeholder
pages,parent_meeting_records,pages/parent_meeting_records.php,,,
pages,parent_meetings,pages/parent_meetings.php,js/pages/parent_meetings.js,,
pages,past_papers,pages/past_papers.php,js/pages/past_papers.js,,placeholder|mock
payroll,payroll,pages/payroll.php,js/pages/payroll.js,,
pages,payslips,pages/payslips.php,js/pages/payslips.js,,
discipline,pending_discipline_cases,pages/pending_discipline_cases.php,,,
pages,performance_analysis,pages/performance_analysis.php,js/pages/performance_analysis.js,,placeholder
reports,performance_reports,pages/performance_reports.php,js/pages/performance_reports.js,api/controllers/ReportsController.php,
pages,performance_trends,pages/performance_trends.php,js/pages/performance_trends.js,,
permission,permission_changes,pages/permission_changes.php,,,placeholder
permission,permission_policies,pages/permission_policies.php,,,placeholder
permission,permissions_exeats,pages/permissions_exeats.php,js/pages/permissions_exeats.js,,placeholder
pages,petty_cash,pages/petty_cash.php,js/pages/petty_cash.js,,placeholder
pages,placement_tests,pages/placement_tests.php,js/pages/placement_tests.js,,placeholder
pages,policy_violations,pages/policy_violations.php,,,placeholder
pages,pta_management,pages/pta_management.php,js/pages/pta_management.js,,placeholder
pages,purchase_orders,pages/purchase_orders.php,js/pages/purchase_orders.js,,placeholder
pages,rate_limiting_status,pages/rate_limiting_status.php,,,
pages,reflection_journal,pages/reflection_journal.php,js/pages/reflection_journal.js,,placeholder
report,report_cards,pages/report_cards.php,js/pages/report_cards.js,api/controllers/ReportsController.php,placeholder
discipline,resolved_discipline_cases,pages/resolved_discipline_cases.php,,,
permission,resource_based_permissions,pages/resource_based_permissions.php,,api/controllers/BaseController.php,placeholder
pages,results_analysis,pages/results_analysis.php,js/pages/results_analysis.js,,
role,role_navigation_config,pages/role_navigation_config.php,js/pages/role_navigation_config.js,,placeholder
role,role_permission_matrix,pages/role_permission_matrix.php,js/pages/role_permission_matrix.js,,placeholder
pages,route_access_rules,pages/route_access_rules.php,,,placeholder
pages,route_registry,pages/route_registry.php,js/pages/route_registry.js,,placeholder
pages,salary_advances,pages/salary_advances.php,js/pages/salary_advances.js,,placeholder
pages,sanctions,pages/sanctions.php,js/pages/sanctions.js,,placeholder
pages,schedule_parent_meetings,pages/schedule_parent_meetings.php,,,
pages,schemes_of_work,pages/schemes_of_work.php,js/pages/schemes_of_work.js,,placeholder
pages,school_events,pages/school_events.php,js/pages/school_events.js,api/controllers/EventsController.php,
pages,school_settings,pages/school_settings.php,js/pages/school_settings.js,,placeholder
pages,security_incidents,pages/security_incidents.php,,,placeholder
pages,send_class_message,pages/send_class_message.php,,,
pages,send_parent_notifications,pages/send_parent_notifications.php,,,
pages,sick_bay,pages/sick_bay.php,js/pages/sick_bay.js,,placeholder
pages,sidebar_menus,pages/sidebar_menus.php,js/pages/sidebar_menus.js,,placeholder
pages,special_needs,pages/special_needs.php,js/pages/special_needs.js,,placeholder
students,special_needs_students,pages/special_needs_students.php,,api/controllers/StudentsController.php,
pages,sports,pages/sports.php,js/pages/sports.js,,
staff,admin_staff,pages/staff/admin_staff.php,,api/controllers/StaffAppointmentsController.php,placeholder
staff,manage_staff_admin,pages/staff/manage_staff_admin.php,,api/controllers/StaffAppointmentsController.php,
staff,manage_staff_base,pages/staff/manage_staff_base.php,,api/controllers/BaseController.php,placeholder
staff,manage_staff_manager,pages/staff/manage_staff_manager.php,,api/controllers/StaffAppointmentsController.php,
staff,manage_staff_operator,pages/staff/manage_staff_operator.php,,api/controllers/StaffAppointmentsController.php,
staff,manage_staff_production,pages/staff/manage_staff_production.php,,api/controllers/StaffAppointmentsController.php,placeholder
staff,manage_staff_viewer,pages/staff/manage_staff_viewer.php,,api/controllers/StaffAppointmentsController.php,
staff,manager_staff,pages/staff/manager_staff.php,,api/controllers/StaffAppointmentsController.php,placeholder
staff,operator_staff,pages/staff/operator_staff.php,,api/controllers/StaffAppointmentsController.php,placeholder
staff,viewer_staff,pages/staff/viewer_staff.php,,api/controllers/StaffAppointmentsController.php,
staff,staff_appointments,pages/staff_appointments.php,js/pages/staff_appointments.js,api/controllers/StaffAppointmentsController.php,
attendance,staff_attendance,pages/staff_attendance.php,js/pages/staff_attendance.js,api/controllers/AttendanceController.php,
staff,staff_onboarding,pages/staff_onboarding.php,js/pages/staff_onboarding.js,api/controllers/BoardingController.php,placeholder
staff,staff_performance,pages/staff_performance.php,js/pages/staff_performance.js,api/controllers/StaffAppointmentsController.php,
staff,staff_schedule,pages/staff_schedule.php,js/pages/staff_schedule.js,api/controllers/StaffAppointmentsController.php,
student,student_behavior_notes,pages/student_behavior_notes.php,,api/controllers/StudentsController.php,
counseling,student_counseling,pages/student_counseling.php,js/pages/student_counseling.js,api/controllers/CounselingController.php,placeholder
student,student_fees,pages/student_fees.php,js/pages/student_fees.js,api/controllers/StudentsController.php,placeholder
student,student_growth,pages/student_growth.php,js/pages/student_growth.js,api/controllers/StudentsController.php,placeholder
student,student_health,pages/student_health.php,js/pages/student_health.js,api/controllers/HealthController.php,placeholder
student,student_id_cards,pages/student_id_cards.php,js/pages/student_id_cards.js,api/controllers/StudentsController.php,placeholder
student,student_performance,pages/student_performance.php,js/pages/student_performance.js,api/controllers/StudentsController.php,
student,student_profiles,pages/student_profiles.php,js/pages/student_profiles.js,api/controllers/StudentsController.php,placeholder
reports,student_progress_reports,pages/student_progress_reports.php,,api/controllers/ReportsController.php,
student,student_promotion,pages/student_promotion.php,js/pages/student_promotion.js,api/controllers/StudentsController.php,
student,student_rewards,pages/student_rewards.php,js/pages/student_rewards.js,api/controllers/StudentsController.php,placeholder
student,student_subject_performance,pages/student_subject_performance.php,,api/controllers/StudentsController.php,
student,student_timeline,pages/student_timeline.php,js/pages/student_timeline.js,api/controllers/StudentsController.php,placeholder
students,accountant_students,pages/students/accountant_students.php,,api/controllers/StudentsController.php,placeholder
students,admin_students,pages/students/admin_students.php,,api/controllers/StudentsController.php,placeholder|fallback
students,manage_students_admin,pages/students/manage_students_admin.php,,api/controllers/StudentsController.php,
students,manage_students_base,pages/students/manage_students_base.php,,api/controllers/BaseController.php,placeholder
students,manage_students_manager,pages/students/manage_students_manager.php,,api/controllers/StudentsController.php,
students,manage_students_operator,pages/students/manage_students_operator.php,,api/controllers/StudentsController.php,
students,manage_students_viewer,pages/students/manage_students_viewer.php,,api/controllers/StudentsController.php,
students,manager_students,pages/students/manager_students.php,,api/controllers/StudentsController.php,placeholder
students,operator_students,pages/students/operator_students.php,,api/controllers/StudentsController.php,placeholder
students,viewer_students,pages/students/viewer_students.php,,api/controllers/StudentsController.php,
students,students_by_class,pages/students_by_class.php,,api/controllers/StudentsController.php,
students,students_with_balance,pages/students_with_balance.php,js/pages/students_with_balance.js,api/controllers/StudentsController.php,placeholder
pages,subject_class_comparison,pages/subject_class_comparison.php,,,
pages,subject_exam_schedule,pages/subject_exam_schedule.php,,,
pages,subject_grade_entry,pages/subject_grade_entry.php,,,
pages,subject_grading_status,pages/subject_grading_status.php,,,
pages,subject_results_summary,pages/subject_results_summary.php,,,
pages,subject_schemes_of_work,pages/subject_schemes_of_work.php,,,
students,subject_students_list,pages/subject_students_list.php,,api/controllers/StudentsController.php,
pages,supervision_roster,pages/supervision_roster.php,js/pages/supervision_roster.js,,placeholder
system,system_diagnostics,pages/system_diagnostics.php,,api/controllers/SystemConfigController.php,
system,system_health,pages/system_health.php,,api/controllers/HealthController.php,
system,system_settings,pages/system_settings.php,js/pages/system_settings.js,api/controllers/SystemConfigController.php,placeholder
pages,teacher_performance_reviews,pages/teacher_performance_reviews.php,js/pages/teacher_performance_reviews.js,,placeholder
pages,teacher_workload,pages/teacher_workload.php,js/pages/teacher_workload.js,,placeholder
pages,teaching_materials,pages/teaching_materials.php,js/pages/teaching_materials.js,,placeholder
pages,term_dates,pages/term_dates.php,js/pages/term_dates.js,,placeholder
reports,term_reports,pages/term_reports.php,js/pages/term_reports.js,api/controllers/ReportsController.php,
pages,term_transition,pages/term_transition.php,js/pages/term_transition.js,,
pages,time_bound_access,pages/time_bound_access.php,,,
pages,timetable,pages/timetable.php,js/pages/timetable.js,,
pages,today_absentees,pages/today_absentees.php,,,
pages,token_management,pages/token_management.php,,,placeholder
pages,transaction_approvals,pages/transaction_approvals.php,js/pages/transaction_approvals.js,,
transport,admin_transport,pages/transport/admin_transport.php,,api/controllers/TransportController.php,placeholder
transport,manager_transport,pages/transport/manager_transport.php,,api/controllers/TransportController.php,placeholder
transport,operator_transport,pages/transport/operator_transport.php,,api/controllers/TransportController.php,
transport,viewer_transport,pages/transport/viewer_transport.php,,api/controllers/TransportController.php,
pages,truancy_cases,pages/truancy_cases.php,,,
payments,unmatched_payments,pages/unmatched_payments.php,js/pages/unmatched_payments.js,api/controllers/PaymentsController.php,placeholder
pages,upload_teaching_resource,pages/upload_teaching_resource.php,js/pages/upload_teaching_resource.js,,placeholder
pages,vendor_invoices,pages/vendor_invoices.php,,,
pages,vendors,pages/vendors.php,js/pages/vendors.js,api/controllers/VendorsController.php,placeholder
attendance,view_attendance,pages/view_attendance.php,js/pages/view_attendance.js,api/controllers/AttendanceController.php,
pages,view_calendar,pages/view_calendar.php,js/pages/view_calendar.js,,placeholder
pages,view_class_lists,pages/view_class_lists.php,,,
pages,view_past_papers,pages/view_past_papers.php,,,
pages,view_results,pages/view_results.php,js/pages/view_results.js,,
student,view_student_info,pages/view_student_info.php,,api/controllers/StudentsController.php,
pages,view_syllabus,pages/view_syllabus.php,,,
pages,view_teaching_materials,pages/view_teaching_materials.php,,,
pages,webhook_registry,pages/webhook_registry.php,,,placeholder
discipline,weekly_discipline_report,pages/weekly_discipline_report.php,,,
pages,welfare_follow_ups,pages/welfare_follow_ups.php,js/pages/welfare_follow_ups.js,,placeholder
pages,year_calendar,pages/year_calendar.php,js/pages/year_calendar.js,,placeholder
pages,year_history,pages/year_history.php,js/pages/year_history.js,,placeholder
pages,year_rollover,pages/year_rollover.php,js/pages/year_rollover.js,,
root,parent_portal,parent_portal.php,js/pages/parent_portal.js,,placeholder
root,reset_password,reset_password.php,,,placeholder
root,streams,streams.php,,,
